station,lat,lon,obs_count,mean_T_count,max_T_count,min_T_count,DTR_T_count,mean_T_ratio,max_T_ration,min_T_ratio,DTR_T_ratio,
89261099999,-64.0666666,-61.6166666,2595,5,4,8,10,0.001926782,0.001541426,0.003082852,0.003853565,
89051099999,-63.467,-56.283,1421,29,38,41,53,0.020408163,0.026741731,0.02885292,0.037297678,
88963099999,-63.4,-56.9833333,16500,236,388,238,401,0.01430303,0.023515152,0.014424242,0.02430303,
85988099999,-63.317,-57.9,2973,4,17,20,48,0.001345442,0.00571813,0.006727212,0.016145308,
89059099999,-63.3166666,-56.6833333,12615,14,33,40,73,0.00110979,0.002615933,0.003170828,0.005786762,
89253099999,-63.1833333,-55.4,1599,24,40,35,35,0.015009381,0.025015635,0.02188868,0.02188868,
89064099999,-62.6666666,-60.3833333,1534,0,0,0,0,0,0,0,0,
85986099999,-62.5,-59.683,3002,10,12,27,31,0.003331113,0.003997335,0.008994004,0.010326449,
89057099999,-62.5,-59.6833333,11624,9,21,25,38,0.00077426,0.001806607,0.002150723,0.003269098,
85984099999,-62.25,-58.933,3049,11,24,28,28,0.00360774,0.007871433,0.009183339,0.009183339,
89053099999,-62.2333333,-58.6333333,13166,24,52,53,83,0.001822877,0.003949567,0.00402552,0.006304117,
89058099999,-62.2166666,-58.9666666,9442,10,14,17,13,0.001059098,0.001482737,0.001800466,0.001376827,
89251099999,-62.2166666,-58.75,4522,6,7,11,19,0.001326847,0.001547988,0.002432552,0.004201681,
89050099999,-62.1833333,-58.8833333,13820,16,24,68,33,0.001157742,0.001736614,0.004920405,0.002387844,
89056099999,-62.1833333,-58.9833333,13415,14,16,41,39,0.001043608,0.001192695,0.00305628,0.002907193,
89054099999,-62.1833333,-58.85,8464,7,17,23,32,0.000827032,0.002008507,0.002717391,0.003780718,
89052099999,-62.1666666,-58.4666666,1808,2,8,20,17,0.001106195,0.004424779,0.011061947,0.009402655,
88968099999,-60.7333333,-44.7333333,16665,275,218,380,342,0.01650165,0.013081308,0.02280228,0.020522052,
88986099999,-59.45,-27.3166666,4171,16,23,42,42,0.003836011,0.005514265,0.010069528,0.010069528,
85972099999,-56.4747222,-68.7297222,9546,0,20,6,29,0,0.002095118,0.000628536,0.003037922,
88981099999,-56.2833333,-27.5833333,1312,1,2,3,3,0.000762195,0.00152439,0.002286585,0.002286585,
85968099999,-54.9333333,-67.6166666,1764,0,0,0,2,0,0,0,0.001133787,
85967099999,-54.933,-67.633,3368,0,11,2,26,0,0.003266033,0.000593824,0.007719715,
87938099999,-54.843278,-68.29575,14181,0,15,12,40,0,0.001057753,0.000846203,0.002820676,
94998099999,-54.4994,158.9369,17153,0,5,3,8,0,0.000291494,0.000174897,0.000466391,
68992099999,-54.4333333,3.2833333,3556,0,0,1,1,0,0,0.000281215,0.000281215,
88903099999,-54.2833333,-36.5,11123,13,62,44,78,0.001168749,0.005574036,0.003955767,0.007012497,
88900099999,-54,-38.05,5832,0,0,1,0,0,0,0.000171468,0,
87934099999,-53.777667,-67.749389,16335,10,29,57,64,0.000612182,0.001775329,0.00348944,0.003917968,
94997099999,-53.1,73.7166666,6382,4,51,2,30,0.000626763,0.007991225,0.000313381,0.004700721,
95997099999,-53.0166666,73.4,5126,0,7,3,9,0,0.001365587,0.000585252,0.001755755,
