Temperature threshold,global_slope_up,global_slope_down,Northern_slope_up,Northern_slope_down,Southern_slope_up,Southern_slope_down,global_ave_freq_up,global_ave_freq_down,Northern_ave_freq_up,Northern_ave_freq_down,Southern_ave_freq_up,Southern_ave_freq_down,global_d_freq_up,global_d_freq_down,Northern_d_freq_up,Northern_d_freq_down,Southern_d_freq_up,Southern_d_freq_down,global_rel_slope_up,global_rel_slope_down,Northern_rel_slope_up,Northern_rel_slope_down,Southern_rel_slope_up,Southern_rel_slope_down,global_h_up,global_h_down,Northern_h_up,Northern_h_down,Southern_h_up,Southern_h_down,global_trend_up,global_trend_down,Northern_trend_up,Northern_trend_down,Southern_trend_up,Southern_trend_down,global_std_freq_up,global_std_freq_down,Northern_std_freq_up,Northern_std_freq_down,Southern_std_freq_up,Southern_std_freq_down
11,-1.4104037653290461e-05,-1.2182200152456254e-05,-1.760887005771922e-05,-1.5861220327064515e-05,7.50572482102258e-08,3.395316973579994e-06,0.0020631387739908995,0.0020784339528742727,0.002561262107642602,0.0025079107764742034,6.976497245681319e-06,0.0003056319503082883,-0.0005600443835438,-0.0004964477034281902,-0.0006970024099014604,-0.0006546413470014801,5.293371725855303e-06,0.00015654680689067003,-0.006836204055245328,-0.005861239966566872,-0.0068750753798979625,-0.0063244755259448775,0.010758586374657958,0.011109168953557269,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.0003401286163470269,0.0003944206071805183,0.0004228223635464836,0.000496707669496681,5.921430768750833e-06,0.00010696037634454053
12,-1.0201050852353842e-05,-8.612776327216669e-06,-1.2732089210552778e-05,-1.1115726327120001e-05,1.660357308892874e-08,1.8702970499848485e-06,0.0013622499928289667,0.0012851590621066294,0.0016917838737466606,0.0015623576528663902,1.9942306963677117e-06,0.00014093383316820602,-0.00042643630578855993,-0.0003628301806470199,-0.00053023464503181,-0.0004710602825115,2.0243085258725123e-06,8.392394153109132e-05,-0.00748838385469135,-0.006701720107002652,-0.007525836726623964,-0.007114713015119462,0.008325803588907972,0.013270745625378891,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.0002536052587071093,0.00028711561410720617,0.000315163161355216,0.00036065044902414394,2.5414868439683733e-06,6.0522280670096174e-05
13,-7.590028352641379e-06,-6.151100362747063e-06,-9.412876005474984e-06,-7.942653076685183e-06,1.0937303928630357e-09,9.618700081243793e-07,0.0008932876558710999,0.0007940627324835334,0.0011095781558637704,0.000971660788650649,4.79917588658748e-07,6.097034583085442e-05,-0.0003198745813564499,-0.0002570516739853701,-0.00039749937505250007,-0.0003297685564930201,5.464103040181221e-07,4.311035536327789e-05,-0.008496734845439988,-0.007746365760685815,-0.008483292461852195,-0.008174306475529585,0.0022789962666710005,0.015776030052262212,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.00018684247519413285,0.00020663868750731075,0.0002321457047442893,0.0002590007902570132,9.278215945524705e-07,3.4397425037801744e-05
14,-5.2322077763e-06,-4.257038768276924e-06,-6.501297680318183e-06,-5.355826660399994e-06,0.0,4.341533417413812e-07,0.0005807936825837313,0.0004898885808807784,0.0007214677091770666,0.0006025386237918646,1.1695604171596625e-07,2.488974814298161e-05,-0.00023121069434664976,-0.00018536336395963003,-0.00028727087242230004,-0.00023496041094488992,1.954968504715889e-07,1.9364200801283797e-05,-0.009008720193070778,-0.008689810161778269,-0.009011210893601613,-0.008888769033087015,0.0,0.01744305885488855,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,0.00013558154644392772,0.00015011824163631263,0.0001684427271219036,0.00018786985963032698,3.1256832188755225e-07,1.9679824880765875e-05
15,-3.4750037701897435e-06,-2.8883168029411774e-06,-4.316853891669231e-06,-3.5932174234333335e-06,0.0,1.984985076634071e-07,0.00037434463215024906,0.0003009141556868549,0.00046502736893592745,0.0003715801655584883,2.2832840456355506e-08,9.217754554750467e-06,-0.00016241845351724996,-0.00013506215219636,-0.00020176905351773996,-0.00016965976753437998,1.364677240185924e-08,7.750494225692647e-06,-0.009282899958333039,-0.00959847434344994,-0.009283010377533322,-0.009670100173492027,0.0,0.0215343668009807,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,9.792082040498865e-05,0.0001081599926641112,0.00012164522992430211,0.00013510186356635435,6.428968196787379e-08,1.0644193134701023e-05
16,-2.4319416621923075e-06,-2.0845048754888893e-06,-3.0211008456461546e-06,-2.6388953133800003e-06,0.0,1.6679388491161267e-08,0.00023753675741668625,0.00018295640602994728,0.00029508142743150197,0.00022662776186003252,2.8542269075784028e-09,2.6890136677933735e-06,-0.00011217085211670999,-9.847120704175325e-05,-0.00013934522421117998,-0.00012261078502934222,0.0,1.1725684681813171e-06,-0.010238169825338666,-0.01139345115441154,-0.010238193816340578,-0.011644183800437509,0.0,0.006202790521644507,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,7.04015884707003e-05,7.598794260777271e-05,8.745732738295874e-05,9.461169721110698e-05,1.7873527778096717e-08,4.598250348336635e-06
17,-1.5438931141304894e-06,-1.422489411645263e-06,-1.9179147531357145e-06,-1.776806283817391e-06,0.0,1.657167261913741e-12,0.00014888558257853706,0.00011017240357249128,0.00018495411741490633,0.0001367078871303007,1.2487242720655508e-09,6.387668187558926e-07,-7.373765087516061e-05,-6.708918301763468e-05,-9.160124310469763e-05,-8.355721521569475e-05,0.0,8.878505609119262e-07,-0.010369661638097744,-0.012911485685335828,-0.010369678598899581,-0.01299710149220476,0.0,2.59432270627544e-06,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,4.9832817595909554e-05,5.230644030953201e-05,6.190540805305045e-05,6.500764554598153e-05,8.9176750159404e-09,1.957970595051578e-06
18,-1.0233669103127377e-06,-9.520139180975081e-07,-1.2712865140712145e-06,-1.1828313035452238e-06,0.0,0.0,9.245120766968455e-05,6.491786345913933e-05,0.00011484832305564838,8.059969606750534e-05,0.0,1.8611840479406997e-07,-4.838944621896502e-05,-4.420059855258313e-05,-6.011221369543477e-05,-5.4966842725279386e-05,0.0,2.404939131343313e-07,-0.011069264924792405,-0.014664899110500236,-0.011069264924793267,-0.014675381685739324,,0.0,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,3.601670117508162e-05,3.595248846166334e-05,4.474206271847433e-05,4.465118015805174e-05,0.0,9.538911728998834e-07
19,-6.9513723207443e-07,-5.522242559549915e-07,-8.635403193708432e-07,-6.938297410360934e-07,0.0,0.0,5.675704735880373e-05,3.759783455885979e-05,7.050693955278875e-05,4.669340450530958e-05,0.0,5.2980612167652396e-08,-3.1652145754425816e-05,-2.900540895455388e-05,-3.932015549213862e-05,-3.603310451524898e-05,0.0,3.636653556269593e-09,-0.012247593284406565,-0.014687661202681205,-0.012247593284407247,-0.01485926649356221,,0.0,True,True,True,True,False,True,decreasing,decreasing,decreasing,decreasing,no trend,increasing,2.5689204367255074e-05,2.440593132051215e-05,3.191263928919413e-05,3.03082632300825e-05,0.0,3.7059292770507543e-07
20,-4.373438685715853e-07,-2.854182707156154e-07,-5.432942540196861e-07,-3.5456334846648824e-07,0.0,0.0,3.417990903151131e-05,2.0819585649997067e-05,4.246029157876595e-05,2.5863053575856347e-05,0.0,1.069847688206044e-09,-2.0566979254700412e-05,-1.8477081122689064e-05,-2.5549510247194572e-05,-2.2953315974908787e-05,0.0,0.0,-0.012795349108986425,-0.013709123491401262,-0.012795349108986881,-0.013709260873877626,,0.0,True,True,True,True,False,False,decreasing,decreasing,decreasing,decreasing,no trend,no trend,1.809567333303934e-05,1.6182894695742333e-05,2.247950880520062e-05,2.010311021893728e-05,0.0,6.4702657767430475e-09
